,ALTA1G_7_B1,BIGCRK3_2_B1,C493GEN_7_N003,CUYAMAGN_7_N001,IBM-CTLE_1_N002,JESSUP_1_GN001,KANAKAJT_1_B1,KEARNY_7_GNU1N,LBEACH1G_7_N001,MECCTG2_7_B2,MILPITAS_1_N001,REDMGEN_7_N003,RENFRO_1_N001,SHELL3_7_B2,SPIJCT_6_B1,TOT210S1_7_N002,TULLOCH_7_B2,VACA-DIX_1_B1,WISE1_7_B1
638,29.03259,28.25589,12.54449,27.70793,31.43771,30.18311,31.49149,40.39764,30.71441,31.28286,32.51927,28.40727,28.36526,32.60749,31.21335,25.2366,30.66394,30.90731,30.80545
639,41.47266,41.09865,28.98856,40.35098,44.53015,42.69274,44.67593,51.2594,43.59917,44.24176,45.6615,41.34098,40.92331,45.54002,44.30325,38.21436,43.54796,43.56127,43.58726
640,54.79836,53.68297,53.23904,52.31787,55.50866,53.26123,52.54539,56.55746,55.13686,55.21455,56.87931,54.40437,53.22794,56.957,54.93154,52.34007,54.28784,54.59859,54.58749
641,65.8963,63.85357,62.9545,62.7099,66.2004,63.1991,61.00432,67.23168,65.55915,65.75087,67.9787,65.42694,63.29165,67.39695,64.95096,61.92322,64.14445,64.61381,64.37582
642,68.55661,67.20288,66.15996,65.55216,69.30945,66.15305,64.19844,68.31487,68.51517,68.81907,71.14665,68.74309,66.29119,70.84966,67.75542,64.99962,67.75542,67.69326,67.07165
643,62.47086,60.69331,60.43669,59.56669,62.50841,60.02986,58.7718,62.33316,62.05777,62.19546,64.16704,62.62108,60.2364,64.01683,62.05777,59.15986,61.5195,61.28791,61.63842
644,60.69156,58.85739,59.04566,58.11643,60.52758,58.16502,56.83494,60.92842,60.5458,60.16317,61.88802,60.71585,58.75414,61.91839,59.8595,57.73988,59.61657,59.36756,59.53761
645,56.60428,54.54861,55.07947,54.26624,56.15248,54.10811,54.59944,56.81323,56.47438,55.84752,57.34409,56.71158,54.76321,57.33844,55.69504,53.94433,54.97781,55.16983,55.27713
646,52.43259,48.49185,50.63852,49.84,51.34889,49.53926,50.23926,52.19407,52.21481,51.10519,52.37556,52.17333,50.39481,52.22519,51.02741,49.54444,50.5037,50.47778,50.5037
647,50.42426,45.74204,48.54146,47.46629,49.23513,47.8478,48.3185,50.08238,49.66619,49.02703,50.16166,49.58691,48.10049,49.82474,48.98739,47.18387,48.3185,48.5811,48.57119
648,54.86061,52.95783,53.00662,52.08505,54.28598,52.62715,53.15299,54.66545,53.93904,54.07456,55.1425,54.30224,52.74642,54.79014,54.03662,51.68932,53.96614,53.39694,54.02577
649,50.88552,51.14629,49.1203,48.37309,50.04303,48.52353,49.00997,50.59466,50.01795,49.87252,50.8103,50.25365,48.93976,50.46929,49.85748,47.91172,49.5265,49.21558,49.88757
650,49.84611,47.61829,48.12372,47.30915,49.04625,47.52506,48.0403,49.62038,48.97755,48.8745,49.67436,49.20328,47.898,49.47807,48.92848,46.86751,48.40833,48.18261,48.98246
651,50.36946,48.307,48.62849,47.86187,49.26651,47.78768,48.25259,50.07765,49.42478,49.0934,49.87486,49.65724,48.39603,49.6523,49.09835,47.39695,48.89557,48.41086,48.94997
652,52.11219,50.56136,50.58703,49.70891,51.11082,49.6935,50.18648,52.07624,51.27515,50.93109,51.74246,51.6038,50.23784,51.48056,51.0338,49.34431,50.57676,50.27892,50.7719
653,58.19421,56.32806,56.35668,55.33201,56.94057,55.24615,54.15279,58.11407,57.1123,56.74022,57.72481,57.47866,55.97315,57.49584,56.72304,54.87979,56.74022,56.00749,56.1964
654,68.5112,66.47575,66.17245,65.11429,67.10256,64.80425,63.60455,68.38314,67.22388,66.806,68.03267,67.79677,65.79502,67.68219,66.53641,64.46052,65.96352,65.83546,65.97026
